Group,Species,Major_group
Ants,Formica aquilonia,TERRESTRIAL_INSECTS
Ants,Formica cunicularia,TERRESTRIAL_INSECTS
Ants,Formica fusca,TERRESTRIAL_INSECTS
Ants,Formica lemani,TERRESTRIAL_INSECTS
Ants,Formica lugubris,TERRESTRIAL_INSECTS
Ants,Formica picea,TERRESTRIAL_INSECTS
Ants,Formica rufa,TERRESTRIAL_INSECTS
Ants,Formica sanguinea,TERRESTRIAL_INSECTS
Ants,Formicoxenus nitidulus,TERRESTRIAL_INSECTS
Ants,Lasius brunneus,TERRESTRIAL_INSECTS
Ants,Lasius flavus,TERRESTRIAL_INSECTS
Ants,Lasius fuliginosus,TERRESTRIAL_INSECTS
Ants,Lasius meridionalis,TERRESTRIAL_INSECTS
Ants,Lasius mixtus,TERRESTRIAL_INSECTS
Ants,Lasius umbratus,TERRESTRIAL_INSECTS
Ants,Leptothorax acervorum,TERRESTRIAL_INSECTS
Ants,Myrmecina graminicola,TERRESTRIAL_INSECTS
Ants,Myrmica lobicornis,TERRESTRIAL_INSECTS
Ants,Myrmica rubra,TERRESTRIAL_INSECTS
Ants,Myrmica ruginodis,TERRESTRIAL_INSECTS
Ants,Myrmica sabuleti,TERRESTRIAL_INSECTS
Ants,Myrmica scabrinodis,TERRESTRIAL_INSECTS
Ants,Myrmica schencki,TERRESTRIAL_INSECTS
Ants,Myrmica specioides,TERRESTRIAL_INSECTS
Ants,Myrmica sulcinodis,TERRESTRIAL_INSECTS
Ants,Ponera coarctata,TERRESTRIAL_INSECTS
Ants,Temnothorax albipennis,TERRESTRIAL_INSECTS
Ants,Temnothorax nylanderi,TERRESTRIAL_INSECTS
Ants,Tetramorium caespitum,TERRESTRIAL_INSECTS
AquaticBugs,Aphelocheirus aestivalis,FRESHWATER_SPECIES
AquaticBugs,Aquarius paludum,FRESHWATER_SPECIES
AquaticBugs,Arctocorisa germari,FRESHWATER_SPECIES
AquaticBugs,Callicorixa praeusta,FRESHWATER_SPECIES
AquaticBugs,Callicorixa wollastoni,FRESHWATER_SPECIES
AquaticBugs,Chartoscirta cincta,FRESHWATER_SPECIES
AquaticBugs,Corixa affinis,FRESHWATER_SPECIES
AquaticBugs,Corixa dentipes,FRESHWATER_SPECIES
AquaticBugs,Corixa panzeri,FRESHWATER_SPECIES
AquaticBugs,Corixa punctata,FRESHWATER_SPECIES
AquaticBugs,Cymatia bonsdorffii,FRESHWATER_SPECIES
AquaticBugs,Cymatia coleoptrata,FRESHWATER_SPECIES
AquaticBugs,Gerris argentatus,FRESHWATER_SPECIES
AquaticBugs,Gerris costae,FRESHWATER_SPECIES
AquaticBugs,Gerris gibbifer,FRESHWATER_SPECIES
AquaticBugs,Gerris lacustris,FRESHWATER_SPECIES
AquaticBugs,Gerris lateralis,FRESHWATER_SPECIES
AquaticBugs,Gerris odontogaster,FRESHWATER_SPECIES
AquaticBugs,Gerris thoracicus,FRESHWATER_SPECIES
AquaticBugs,Hebrus ruficeps,FRESHWATER_SPECIES
AquaticBugs,Hesperocorixa castanea,FRESHWATER_SPECIES
AquaticBugs,Hesperocorixa linnaei,FRESHWATER_SPECIES
AquaticBugs,Hesperocorixa moesta,FRESHWATER_SPECIES
AquaticBugs,Hesperocorixa sahlbergi,FRESHWATER_SPECIES
AquaticBugs,Hydrometra stagnorum,FRESHWATER_SPECIES
AquaticBugs,Ilyocoris cimicoides,FRESHWATER_SPECIES
AquaticBugs,Micronecta poweri,FRESHWATER_SPECIES
AquaticBugs,Micronecta scholtzi,FRESHWATER_SPECIES
AquaticBugs,Microvelia pygmaea,FRESHWATER_SPECIES
AquaticBugs,Microvelia reticulata,FRESHWATER_SPECIES
AquaticBugs,Nepa cinerea,FRESHWATER_SPECIES
AquaticBugs,Notonecta glauca,FRESHWATER_SPECIES
AquaticBugs,Notonecta maculata,FRESHWATER_SPECIES
AquaticBugs,Notonecta obliqua,FRESHWATER_SPECIES
AquaticBugs,Notonecta viridis,FRESHWATER_SPECIES
AquaticBugs,Paracorixa concinna,FRESHWATER_SPECIES
AquaticBugs,Plea minutissima,FRESHWATER_SPECIES
AquaticBugs,Ranatra linearis,FRESHWATER_SPECIES
AquaticBugs,Saldula saltatoria,FRESHWATER_SPECIES
AquaticBugs,Sigara distincta,FRESHWATER_SPECIES
AquaticBugs,Sigara dorsalis,FRESHWATER_SPECIES
AquaticBugs,Sigara falleni,FRESHWATER_SPECIES
AquaticBugs,Sigara fossarum,FRESHWATER_SPECIES
AquaticBugs,Sigara lateralis,FRESHWATER_SPECIES
AquaticBugs,Sigara limitata,FRESHWATER_SPECIES
AquaticBugs,Sigara nigrolineata,FRESHWATER_SPECIES
AquaticBugs,Sigara scotti,FRESHWATER_SPECIES
AquaticBugs,Sigara semistriata,FRESHWATER_SPECIES
AquaticBugs,Sigara stagnalis,FRESHWATER_SPECIES
AquaticBugs,Sigara venusta,FRESHWATER_SPECIES
AquaticBugs,Velia caprai,FRESHWATER_SPECIES
Bees,Andrena alfkenella,TERRESTRIAL_INSECTS
Bees,Andrena angustior,TERRESTRIAL_INSECTS
Bees,Andrena apicata,TERRESTRIAL_INSECTS
Bees,Andrena argentata,TERRESTRIAL_INSECTS
Bees,Andrena barbilabris,TERRESTRIAL_INSECTS
Bees,Andrena bicolor,TERRESTRIAL_INSECTS
Bees,Andrena bimaculata,TERRESTRIAL_INSECTS
Bees,Andrena bucephala,TERRESTRIAL_INSECTS
Bees,Andrena chrysosceles,TERRESTRIAL_INSECTS
Bees,Andrena cineraria,TERRESTRIAL_INSECTS
Bees,Andrena clarkella,TERRESTRIAL_INSECTS
Bees,Andrena coitana,TERRESTRIAL_INSECTS
Bees,Andrena congruens,TERRESTRIAL_INSECTS
Bees,Andrena denticulata,TERRESTRIAL_INSECTS
Bees,Andrena dorsata,TERRESTRIAL_INSECTS
Bees,Andrena flavipes,TERRESTRIAL_INSECTS
Bees,Andrena florea,TERRESTRIAL_INSECTS
Bees,Andrena fucata,TERRESTRIAL_INSECTS
Bees,Andrena fulva,TERRESTRIAL_INSECTS
Bees,Andrena fulvago,TERRESTRIAL_INSECTS
Bees,Andrena fuscipes,TERRESTRIAL_INSECTS
Bees,Andrena haemorrhoa,TERRESTRIAL_INSECTS
Bees,Andrena hattorfiana,TERRESTRIAL_INSECTS
Bees,Andrena helvola,TERRESTRIAL_INSECTS
Bees,Andrena humilis,TERRESTRIAL_INSECTS
Bees,Andrena labialis,TERRESTRIAL_INSECTS
Bees,Andrena labiata,TERRESTRIAL_INSECTS
Bees,Andrena lapponica,TERRESTRIAL_INSECTS
Bees,Andrena marginata,TERRESTRIAL_INSECTS
Bees,Andrena minutula,TERRESTRIAL_INSECTS
Bees,Andrena minutuloides,TERRESTRIAL_INSECTS
Bees,Andrena nigriceps,TERRESTRIAL_INSECTS
Bees,Andrena nigroaenea,TERRESTRIAL_INSECTS
Bees,Andrena nitida,TERRESTRIAL_INSECTS
Bees,Andrena nitidiuscula,TERRESTRIAL_INSECTS
Bees,Andrena ovatula,TERRESTRIAL_INSECTS
Bees,Andrena praecox,TERRESTRIAL_INSECTS
Bees,Andrena proxima,TERRESTRIAL_INSECTS
Bees,Andrena ruficrus,TERRESTRIAL_INSECTS
Bees,Andrena scotica,TERRESTRIAL_INSECTS
Bees,Andrena semilaevis,TERRESTRIAL_INSECTS
Bees,Andrena similis,TERRESTRIAL_INSECTS
Bees,Andrena subopaca,TERRESTRIAL_INSECTS
Bees,Andrena synadelpha,TERRESTRIAL_INSECTS
Bees,Andrena tarsata,TERRESTRIAL_INSECTS
Bees,Andrena thoracica,TERRESTRIAL_INSECTS
Bees,Andrena tibialis,TERRESTRIAL_INSECTS
Bees,Andrena trimmerana,TERRESTRIAL_INSECTS
Bees,Andrena varians,TERRESTRIAL_INSECTS
Bees,Andrena wilkella,TERRESTRIAL_INSECTS
Bees,Anthidium manicatum,TERRESTRIAL_INSECTS
Bees,Anthophora bimaculata,TERRESTRIAL_INSECTS
Bees,Anthophora furcata,TERRESTRIAL_INSECTS
Bees,Anthophora plumipes,TERRESTRIAL_INSECTS
Bees,Anthophora quadrimaculata,TERRESTRIAL_INSECTS
Bees,Apis mellifera,TERRESTRIAL_INSECTS
Bees,Bombus barbutellus,TERRESTRIAL_INSECTS
Bees,Bombus bohemicus,TERRESTRIAL_INSECTS
Bees,Bombus campestris,TERRESTRIAL_INSECTS
Bees,Bombus distinguendus,TERRESTRIAL_INSECTS
Bees,Bombus hortorum,TERRESTRIAL_INSECTS
Bees,Bombus humilis,TERRESTRIAL_INSECTS
Bees,Bombus hypnorum,TERRESTRIAL_INSECTS
Bees,Bombus jonellus,TERRESTRIAL_INSECTS
Bees,Bombus lapidarius,TERRESTRIAL_INSECTS
Bees,Bombus magnus,TERRESTRIAL_INSECTS
Bees,Bombus muscorum,TERRESTRIAL_INSECTS
Bees,Bombus pascuorum,TERRESTRIAL_INSECTS
Bees,Bombus pratorum,TERRESTRIAL_INSECTS
Bees,Bombus ruderarius,TERRESTRIAL_INSECTS
Bees,Bombus ruderatus,TERRESTRIAL_INSECTS
Bees,Bombus rupestris,TERRESTRIAL_INSECTS
Bees,Bombus soroeensis,TERRESTRIAL_INSECTS
Bees,Bombus sylvarum,TERRESTRIAL_INSECTS
Bees,Bombus sylvestris,TERRESTRIAL_INSECTS
Bees,Bombus terrestris,TERRESTRIAL_INSECTS
Bees,Bombus vestalis,TERRESTRIAL_INSECTS
Bees,Ceratina cyanea,TERRESTRIAL_INSECTS
Bees,Chelostoma campanularum,TERRESTRIAL_INSECTS
Bees,Chelostoma florisomne,TERRESTRIAL_INSECTS
Bees,Coelioxys conoidea,TERRESTRIAL_INSECTS
Bees,Coelioxys elongata,TERRESTRIAL_INSECTS
Bees,Coelioxys inermis,TERRESTRIAL_INSECTS
Bees,Coelioxys mandibularis,TERRESTRIAL_INSECTS
Bees,Coelioxys rufescens,TERRESTRIAL_INSECTS
Bees,Colletes cunicularius,TERRESTRIAL_INSECTS
Bees,Colletes daviesanus,TERRESTRIAL_INSECTS
Bees,Colletes floralis,TERRESTRIAL_INSECTS
Bees,Colletes fodiens,TERRESTRIAL_INSECTS
Bees,Colletes halophilus,TERRESTRIAL_INSECTS
Bees,Colletes hederae,TERRESTRIAL_INSECTS
Bees,Colletes marginatus,TERRESTRIAL_INSECTS
Bees,Colletes similis,TERRESTRIAL_INSECTS
Bees,Colletes succinctus,TERRESTRIAL_INSECTS
Bees,Dasypoda hirtipes,TERRESTRIAL_INSECTS
Bees,Epeolus cruciger,TERRESTRIAL_INSECTS
Bees,Epeolus variegatus,TERRESTRIAL_INSECTS
Bees,Eucera longicornis,TERRESTRIAL_INSECTS
Bees,Halictus confusus,TERRESTRIAL_INSECTS
Bees,Halictus rubicundus,TERRESTRIAL_INSECTS
Bees,Halictus tumulorum,TERRESTRIAL_INSECTS
Bees,Heriades truncorum,TERRESTRIAL_INSECTS
Bees,Hoplitis claviventris,TERRESTRIAL_INSECTS
Bees,Hylaeus annularis,TERRESTRIAL_INSECTS
Bees,Hylaeus brevicornis,TERRESTRIAL_INSECTS
Bees,Hylaeus communis,TERRESTRIAL_INSECTS
Bees,Hylaeus confusus,TERRESTRIAL_INSECTS
Bees,Hylaeus cornutus,TERRESTRIAL_INSECTS
Bees,Hylaeus dilatatus,TERRESTRIAL_INSECTS
Bees,Hylaeus hyalinatus,TERRESTRIAL_INSECTS
Bees,Hylaeus incongruus,TERRESTRIAL_INSECTS
Bees,Hylaeus pectoralis,TERRESTRIAL_INSECTS
Bees,Hylaeus pictipes,TERRESTRIAL_INSECTS
Bees,Hylaeus signatus,TERRESTRIAL_INSECTS
Bees,Lasioglossum albipes,TERRESTRIAL_INSECTS
Bees,Lasioglossum brevicorne,TERRESTRIAL_INSECTS
Bees,Lasioglossum calceatum,TERRESTRIAL_INSECTS
Bees,Lasioglossum cupromicans,TERRESTRIAL_INSECTS
Bees,Lasioglossum fratellum,TERRESTRIAL_INSECTS
Bees,Lasioglossum fulvicorne,TERRESTRIAL_INSECTS
Bees,Lasioglossum laevigatum,TERRESTRIAL_INSECTS
Bees,Lasioglossum lativentre,TERRESTRIAL_INSECTS
Bees,Lasioglossum leucopus,TERRESTRIAL_INSECTS
Bees,Lasioglossum leucozonium,TERRESTRIAL_INSECTS
Bees,Lasioglossum malachurum,TERRESTRIAL_INSECTS
Bees,Lasioglossum minutissimum,TERRESTRIAL_INSECTS
Bees,Lasioglossum morio,TERRESTRIAL_INSECTS
Bees,Lasioglossum nitidiusculum,TERRESTRIAL_INSECTS
Bees,Lasioglossum parvulum,TERRESTRIAL_INSECTS
Bees,Lasioglossum pauperatum,TERRESTRIAL_INSECTS
Bees,Lasioglossum pauxillum,TERRESTRIAL_INSECTS
Bees,Lasioglossum prasinum,TERRESTRIAL_INSECTS
Bees,Lasioglossum punctatissimum,TERRESTRIAL_INSECTS
Bees,Lasioglossum puncticolle,TERRESTRIAL_INSECTS
Bees,Lasioglossum quadrinotatum,TERRESTRIAL_INSECTS
Bees,Lasioglossum rufitarse,TERRESTRIAL_INSECTS
Bees,Lasioglossum semilucens,TERRESTRIAL_INSECTS
Bees,Lasioglossum smeathmanellum,TERRESTRIAL_INSECTS
Bees,Lasioglossum villosulum,TERRESTRIAL_INSECTS
Bees,Lasioglossum xanthopus,TERRESTRIAL_INSECTS
Bees,Lasioglossum zonulum,TERRESTRIAL_INSECTS
Bees,Macropis europaea,TERRESTRIAL_INSECTS
Bees,Megachile centuncularis,TERRESTRIAL_INSECTS
Bees,Megachile circumcincta,TERRESTRIAL_INSECTS
Bees,Megachile leachella,TERRESTRIAL_INSECTS
Bees,Megachile ligniseca,TERRESTRIAL_INSECTS
Bees,Megachile maritima,TERRESTRIAL_INSECTS
Bees,Megachile versicolor,TERRESTRIAL_INSECTS
Bees,Megachile willughbiella,TERRESTRIAL_INSECTS
Bees,Melecta albifrons,TERRESTRIAL_INSECTS
Bees,Melitta haemorrhoidalis,TERRESTRIAL_INSECTS
Bees,Melitta leporina,TERRESTRIAL_INSECTS
Bees,Melitta tricincta,TERRESTRIAL_INSECTS
Bees,Nomada armata,TERRESTRIAL_INSECTS
Bees,Nomada baccata,TERRESTRIAL_INSECTS
Bees,Nomada fabriciana,TERRESTRIAL_INSECTS
Bees,Nomada ferruginata,TERRESTRIAL_INSECTS
Bees,Nomada flava,TERRESTRIAL_INSECTS
Bees,Nomada flavoguttata,TERRESTRIAL_INSECTS
Bees,Nomada flavopicta,TERRESTRIAL_INSECTS
Bees,Nomada fucata,TERRESTRIAL_INSECTS
Bees,Nomada fulvicornis,TERRESTRIAL_INSECTS
Bees,Nomada goodeniana,TERRESTRIAL_INSECTS
Bees,Nomada hirtipes,TERRESTRIAL_INSECTS
Bees,Nomada integra,TERRESTRIAL_INSECTS
Bees,Nomada lathburiana,TERRESTRIAL_INSECTS
Bees,Nomada leucophthalma,TERRESTRIAL_INSECTS
Bees,Nomada marshamella,TERRESTRIAL_INSECTS
Bees,Nomada panzeri,TERRESTRIAL_INSECTS
Bees,Nomada ruficornis,TERRESTRIAL_INSECTS
Bees,Nomada rufipes,TERRESTRIAL_INSECTS
Bees,Nomada sheppardana,TERRESTRIAL_INSECTS
Bees,Nomada signata,TERRESTRIAL_INSECTS
Bees,Nomada striata,TERRESTRIAL_INSECTS
Bees,Osmia aurulenta,TERRESTRIAL_INSECTS
Bees,Osmia bicolor,TERRESTRIAL_INSECTS
Bees,Osmia bicornis,TERRESTRIAL_INSECTS
Bees,Osmia caerulescens,TERRESTRIAL_INSECTS
Bees,Osmia leaiana,TERRESTRIAL_INSECTS
Bees,Osmia parietina,TERRESTRIAL_INSECTS
Bees,Osmia pilicornis,TERRESTRIAL_INSECTS
Bees,Osmia spinulosa,TERRESTRIAL_INSECTS
Bees,Panurgus banksianus,TERRESTRIAL_INSECTS
Bees,Panurgus calcaratus,TERRESTRIAL_INSECTS
Bees,Sphecodes crassus,TERRESTRIAL_INSECTS
Bees,Sphecodes ephippius,TERRESTRIAL_INSECTS
Bees,Sphecodes ferruginatus,TERRESTRIAL_INSECTS
Bees,Sphecodes geoffrellus,TERRESTRIAL_INSECTS
Bees,Sphecodes gibbus,TERRESTRIAL_INSECTS
Bees,Sphecodes hyalinatus,TERRESTRIAL_INSECTS
Bees,Sphecodes longulus,TERRESTRIAL_INSECTS
Bees,Sphecodes miniatus,TERRESTRIAL_INSECTS
Bees,Sphecodes monilicornis,TERRESTRIAL_INSECTS
Bees,Sphecodes niger,TERRESTRIAL_INSECTS
Bees,Sphecodes pellucidus,TERRESTRIAL_INSECTS
Bees,Sphecodes puncticeps,TERRESTRIAL_INSECTS
Bees,Sphecodes reticulatus,TERRESTRIAL_INSECTS
Bees,Sphecodes rubicundus,TERRESTRIAL_INSECTS
Bees,Sphecodes scabricollis,TERRESTRIAL_INSECTS
Bees,Stelis breviuscula,TERRESTRIAL_INSECTS
Bees,Stelis ornatula,TERRESTRIAL_INSECTS
Bees,Stelis punctulatissima,TERRESTRIAL_INSECTS
Bryophytes,Abietinella abietina,LOWER_PLANTS
Bryophytes,Acaulon muticum s.l.,LOWER_PLANTS
Bryophytes,Adelanthus decipiens,LOWER_PLANTS
Bryophytes,Amblystegium serpens,LOWER_PLANTS
Bryophytes,Amphidium lapponicum,LOWER_PLANTS
Bryophytes,Amphidium mougeotii,LOWER_PLANTS
Bryophytes,Anastrepta orcadensis,LOWER_PLANTS
Bryophytes,Anastrophyllum donnianum,LOWER_PLANTS
Bryophytes,Anastrophyllum hellerianum,LOWER_PLANTS
Bryophytes,Anastrophyllum minutum,LOWER_PLANTS
Bryophytes,Andreaea alpina,LOWER_PLANTS
Bryophytes,Andreaea rothii agg. sensu smith (1978),LOWER_PLANTS
Bryophytes,Andreaea rupestris agg. sensu Smith (1978),LOWER_PLANTS
Bryophytes,Aneura pinguis,LOWER_PLANTS
Bryophytes,Anoectangium aestivum,LOWER_PLANTS
Bryophytes,Anomobryum julaceum s.l.,LOWER_PLANTS
Bryophytes,Anomodon viticulosus,LOWER_PLANTS
Bryophytes,Anthelia julacea,LOWER_PLANTS
Bryophytes,Anthelia juratzkana,LOWER_PLANTS
Bryophytes,Antitrichia curtipendula,LOWER_PLANTS
Bryophytes,Aphanolejeunea microscopica,LOWER_PLANTS
Bryophytes,Aphanorrhegma patens,LOWER_PLANTS
Bryophytes,Archidium alternifolium,LOWER_PLANTS
Bryophytes,Atrichum crispum,LOWER_PLANTS
Bryophytes,Atrichum undulatum,LOWER_PLANTS
Bryophytes,Aulacomnium androgynum,LOWER_PLANTS
Bryophytes,Aulacomnium palustre,LOWER_PLANTS
Bryophytes,Barbilophozia atlantica,LOWER_PLANTS
Bryophytes,Barbilophozia attenuata,LOWER_PLANTS
Bryophytes,Barbilophozia barbata,LOWER_PLANTS
Bryophytes,Barbilophozia floerkei,LOWER_PLANTS
Bryophytes,Barbilophozia hatcheri,LOWER_PLANTS
Bryophytes,Barbula convoluta,LOWER_PLANTS
Bryophytes,Barbula unguiculata,LOWER_PLANTS
Bryophytes,Bartramia halleriana,LOWER_PLANTS
Bryophytes,Bartramia ithyphylla,LOWER_PLANTS
Bryophytes,Bartramia pomiformis,LOWER_PLANTS
Bryophytes,Bazzania pearsonii,LOWER_PLANTS
Bryophytes,Bazzania tricrenata,LOWER_PLANTS
Bryophytes,Bazzania trilobata,LOWER_PLANTS
Bryophytes,Blasia pusilla,LOWER_PLANTS
Bryophytes,Blepharostoma trichophyllum,LOWER_PLANTS
Bryophytes,Blindia acuta,LOWER_PLANTS
Bryophytes,Brachydontium trichodes,LOWER_PLANTS
Bryophytes,Brachytheciastrum velutinum,LOWER_PLANTS
Bryophytes,Brachythecium albicans,LOWER_PLANTS
Bryophytes,Brachythecium glareosum,LOWER_PLANTS
